what,kind,bundleId,bundleVersion,description,time
started,bundle,com.genuitec.eclipse.wizards,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.wizards,1243865508725
started,bundle,com.genuitec.myeclipse.compatibility,7.1.0.zmyeclipse7102009030516,com.genuitec.myeclipse.compatibility,1243865508730
started,bundle,com.iw.plugins.spindle.ui,7.1.0.zmyeclipse7102009030516,com.iw.plugins.spindle.ui,1243865508738
started,bundle,org.eclipse.wst.internet.monitor.core,1.0.303.v200805140145,org.eclipse.wst.internet.monitor.core,1243865508802
started,bundle,org.eclipse.wst.internet.monitor.ui,1.0.304.v200805140145,org.eclipse.wst.internet.monitor.ui,1243865508856
started,bundle,com.genuitec.myeclipse.icefaces,7.1.0.zmyeclipse7102009030516,com.genuitec.myeclipse.icefaces,1243865508858
started,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1243865508894
started,bundle,org.eclipse.atf.mozilla.ide.debug.ui,0.2.2.zmyeclipse7102009030516,org.eclipse.atf.mozilla.ide.debug.ui,1243865508927
started,bundle,org.eclipse.jst.jsf.common,1.1.3.zmyeclipse7102009030516,org.eclipse.jst.jsf.common,1243865508938
started,bundle,org.eclipse.jst.jsf.core,1.1.102.zmyeclipse7102009030516,org.eclipse.jst.jsf.core,1243865508946
started,bundle,org.eclipse.wst.jsdt.atfdebug,0.0.1.zmyeclipse7102009030516,org.eclipse.wst.jsdt.atfdebug,1243865508954
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.zmyeclipse7102009030516,org.eclipse.wst.ws.service.policy.ui,1243865508958
started,bundle,org.jboss.tools.common,2.0.1.zmyeclipse7102009030516,org.jboss.tools.common,1243865508968
started,bundle,org.jboss.tools.vpe,2.0.1.zmyeclipse7102009030516,org.jboss.tools.vpe,1243865508970
started,bundle,org.jboss.tools.vpe.xulrunner,2.0.1.zmyeclipse7102009030516,org.jboss.tools.vpe.xulrunner,1243865508976
started,bundle,org.eclipse.atf.mozilla.ide.core,0.2.2.zmyeclipse7102009030516,org.eclipse.atf.mozilla.ide.core,1243865509381
opened,editor,com.genuitec.eclipse.intro,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.intro.startpage,1243865509681
activated,editor,com.genuitec.eclipse.intro,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.intro.startpage,1243865510080
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1243865555941
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1243865557904
activated,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1243865558622
closed,editor,com.genuitec.eclipse.intro,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.intro.startpage,1243865558627
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1243865560468
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1243865567413
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.103.zmyeclipse7102009030516,org.eclipse.wst.jsdt.web.core,1243865589826
